"id","hsncode","name",,"gst_tax_ids:id","gst_supplier_tax_ids:id","igst_tax_ids:id","igst_supplier_tax_ids:id"
"03056100","03056100","Herrings (clupea harengus, clupea pallasii)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03056200","03056200","Cod (gadus morhua, gadus ogac, gadus macrocephalus)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03056300","03056300","Anchovies (engraulis spp)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03056900","03056900","Other fish (salted or in brine)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03060000","03060000","Crustaceans, whether in shell or not, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, frozen, dried, salted or in brine; flours, meals and pellets of crustaceans, fit for human consumption.","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061100","03061100","Rock lobster and other sea crawfish - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061200","03061200","Lobsters (homarus spp)- frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061300","03061300","Shrimps and prawns - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061400","03061400","Crabs: crabmeat - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061900","03061900","Other, including flours, meals and pellets of crustaceans, fit for human consumption - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03062900","03062900","Other, including flours, meals and pellets of crustaceans, fit for human consumption - not frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03070000  ","03070000  ","Molluscs, whether in shell or not, frozen, dried, salted or in brine; auatic invertebrates other than crustaceans and molluscs, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra other than crustaceans, fit for human consumption.","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03074900","03074900","Squid: frozen fillets, loligo: loligo opalescens, loligo pealei, octopus (octopus spp):","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03074910","03074910","Squid tubes, frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03074920","03074920","Whole squids, frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03074930","03074930","Dried squids","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03076000","03076000","Snails, other than sea snails, other, including flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption:","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03079920","03079920","Jelly fish, dried, salted or frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03079990","03079990","Jelly fish, dried, salted or frozen: Other","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03080000  ","03080000  ","Aquatic invertebrates other than crustaceans and molluscs, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process; flours meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption.","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
